ID,Year,NNdist,CalvingGround,Calved,CalvingDate,Lost,LossDate,NNpart,CalvingGround2,NNdistkm
mr2009a31,2011,26525.934350822,On,1,2011-05-23,0,,28816.5143580083,1,26.525934350822
mr2009a31,2012,27818.6673765983,On,1,2012-05-22,0,,25759.8084750807,1,27.8186673765983
mr2009a31,2013,32332.978782937,Off,1,2013-05-22,0,,25906.7756192212,0,32.332978782937
mr2010a01,2011,17910.0777935732,On,1,2011-05-22,0,,14796.8993341961,1,17.9100777935732
mr2010a01,2012,17433.97758544,On,1,2012-05-22,0,,13931.9742756726,1,17.43397758544
mr2010a03,2011,19569.7665519226,On,1,2011-05-22,0,,18038.2248613453,1,19.5697665519226
mr2011a01,2011,30290.5829941301,Off,1,2011-06-06,1,2011-06-12,17999.872590328,0,30.2905829941301
mr2011a01,2012,29571.9014968058,On,1,2012-06-05,0,,14124.8403708549,1,29.5719014968058
mr2011a01,2013,38820.1998085085,Off,1,2013-05-22,0,,21294.6587945348,0,38.8201998085085
mr2011a02,2011,20192.7129246487,On,1,2011-05-28,1,2011-06-10,17058.7935756365,1,20.1927129246487
mr2011a02,2012,32390.7665574571,Off,1,2012-05-22,0,,11289.1079239201,0,32.3907665574571
mr2011a03,2011,21468.4580403038,On,1,2011-05-27,1,2011-06-10,36093.9563675139,1,21.4684580403038
mr2011a04,2011,41371.4607751867,Off,1,2011-05-28,1,2011-06-08,36994.5728039665,0,41.3714607751867
mr2011a04,2012,35820.5968388771,Off,1,2012-05-25,0,,39356.0516253537,0,35.8205968388771
mr2011a04,2013,32023.9662000683,On,1,2013-05-24,1,2013-05-29,25276.709556917,1,32.0239662000683
mr2011a05,2011,17587.9784798547,On,1,2011-06-13,1,2011-06-15,12326.7390554671,1,17.5879784798547
mr2011a05,2012,22483.1658164486,On,,,0,,,1,22.4831658164486
mr2011a06,2011,17700.7623899525,On,1,2011-05-22,1,,13448.3265432612,1,17.7007623899525
mr2012a01,2013,39494.6694937461,Off,1,2013-05-27,1,2013-06-04,37529.3150270081,0,39.4946694937461
mr2012a02,2013,38924.5510627497,Off,1,2013-05-22,0,,33924.6621652102,0,38.9245510627497
mr2012a03,2013,31363.5576804679,On,1,2013-05-26,0,,21268.2778296372,1,31.3635576804679
mr2012a04,2013,30177.7223332067,On,1,2013-06-03,1,2013-06-06,34263.986293022,1,30.1777223332067
mr2012a05,2013,31086.2365087933,On,1,2013-05-28,1,2013-05-31,24002.7321287323,1,31.0862365087933
mr2012a06,2013,27947.979830157,On,1,2013-05-29,1,2013-06-09,24530.4530957017,1,27.947979830157
