ID,Year,NNdist,CalvingGround,Calved,CalvingDate,Lost,LossDate,NNpart,CalvingGround2,NNdistkm,NNdistkm_cent,predict.mod1
mr2009a24,2011,23089.0945681337,On,1,2011-05-22,0,,17017.8738212761,1,23.0890945681337,0.436016760355569,0.334416689034212
mr2009a25,2009,15564.2160320551,On,1,2009-05-23,0,,13385.0668077811,1,15.5642160320551,-1.09429536598697,0.23844017982443
mr2009a25,2010,20465.6957952465,On,1,2010-06-15,1,2010-06-26,19010.3975697448,1,20.4656957952465,-0.0974960312640008,0.298768497836675
mr2009a25,2011,18166.8545645459,On,1,2011-05-24,0,,14822.2154688652,1,18.1668545645459,-0.565004522598478,0.269401326148964
mr2009a25,2012,17174.5800814422,On,1,2012-05-24,0,,11092.9105843681,1,17.1745800814422,-0.766800427591945,0.257303480723851
mr2009a25,2013,27687.102724682,On,1,2013-05-23,1,2013-05-25,24159.5336339866,1,27.687102724682,1.37109997867616,0.401487875006505
mr2009a26,2010,28601.9689527367,On,1,2010-05-22,0,,15880.2689918461,1,28.6019689527367,1.55715359749018,0.415380612596605
mr2009a26,2012,29040.8205720082,On,,,0,,,1,29.0408205720082,1.64640154367513,0.422094320117945
mr2009a27,2009,16386.4416815091,On,1,2009-05-28,1,2009-06-06,14104.2019113772,1,16.3864416815091,-0.927081785606057,0.247951157600931
mr2009a27,2010,17732.1788205263,On,1,2010-05-22,0,,12466.8806665105,1,17.7321788205263,-0.653403233476125,0.264057804604459
mr2009a29,2010,21902.8835603963,On,1,2010-05-29,0,,14611.7697790013,1,21.9028835603963,0.194780562211235,0.318031072620951
mr2009a30,2010,19631.0066561772,On,1,2010-06-03,1,2010-06-11,15324.4545435226,1,19.6310066561772,-0.267244274391084,0.287894245404964
mr2009a30,2011,19023.6414379512,On,1,2011-05-22,0,,16241.8244153116,1,19.0236414379512,-0.390762329083092,0.280131584445966
mr2009a30,2012,17210.1993843277,On,1,2012-05-25,0,,10731.7746732961,1,17.2101993843277,-0.759556636097347,0.257731552225685
mr2009a31,2011,26525.934350822,On,1,2011-05-23,0,,28816.5143580083,1,26.525934350822,1.13495662636505,0.384082801328869
mr2009a31,2012,27818.6673765983,On,1,2012-05-22,0,,25759.8084750807,1,27.8186673765983,1.39785588991914,0.40347659692602
mr2010a01,2011,17910.0777935732,On,1,2011-05-22,0,,14796.8993341961,1,17.9100777935732,-0.617224449405093,0.266236501934486
mr2010a01,2012,17433.97758544,On,1,2012-05-22,0,,13931.9742756726,1,17.43397758544,-0.714047530118913,0.260431526440861
mr2010a03,2011,19569.7665519226,On,1,2011-05-22,0,,18038.2248613453,1,19.5697665519226,-0.279698491918979,0.287105754981403
mr2011a01,2012,29571.9014968058,On,1,2012-06-05,0,,14124.8403708549,1,29.5719014968058,1.75440588891345,0.430257429518414
mr2011a02,2011,20192.7129246487,On,1,2011-05-28,1,2011-06-10,17058.7935756365,1,20.1927129246487,-0.153011744262776,0.295186197049967
mr2011a03,2011,21468.4580403038,On,1,2011-05-27,1,2011-06-10,36093.9563675139,1,21.4684580403038,0.106432738628072,0.312138458018215
mr2011a04,2013,32023.9662000683,On,1,2013-05-24,1,2013-05-29,25276.709556917,1,32.0239662000683,2.2530749813098,0.468373019231142
mr2011a05,2011,17587.9784798547,On,1,2011-06-13,1,2011-06-15,12326.7390554671,1,17.5879784798547,-0.682728827091277,0.262300219861711
mr2011a05,2012,22483.1658164486,On,,,0,,,1,22.4831658164486,0.312790835583842,0.32599367441423
mr2011a06,2011,17700.7623899525,On,1,2011-05-22,1,,13448.3265432612,1,17.7007623899525,-0.659792299351789,0.263674243016583
mr2012a03,2013,31363.5576804679,On,1,2013-05-26,0,,21268.2778296372,1,31.3635576804679,2.11876966846803,0.458052121170162
mr2012a04,2013,30177.7223332067,On,1,2013-06-03,1,2013-06-06,34263.986293022,1,30.1777223332067,1.87760986727539,0.439615612368928
mr2012a05,2013,31086.2365087933,On,1,2013-05-28,1,2013-05-31,24002.7321287323,1,31.0862365087933,2.06237168810589,0.453728326995937
mr2012a06,2013,27947.979830157,On,1,2013-05-29,1,2013-06-09,24530.4530957017,1,27.947979830157,1.42415377829291,0.405434371291229
