Year,month,ANIMAL_ID,V1
2009,5,mr2009a01,12687.4723425059
2009,6,mr2009a01,13886.6066416204
2009,7,mr2009a01,23674.0102743208
2009,6,mr2009a02,15321.3491049956
2009,5,mr2009a02,28594.5214401154
2009,7,mr2009a02,22087.7543265502
2009,6,mr2009a03,14908.9605605285
2009,7,mr2009a03,26134.1337575204
2009,5,mr2009a03,16917.2682791013
2009,5,mr2009a04,12881.1574486777
2009,6,mr2009a04,14329.8047046921
2009,7,mr2009a04,21734.4336514899
2009,6,mr2009a06,15871.3758814403
2009,7,mr2009a06,28680.2052714709
2009,5,mr2009a06,14095.7772064155
2009,6,mr2009a07,13905.7356658729
2009,5,mr2009a07,12553.4304958351
2009,7,mr2009a07,42132.6958288562
2009,6,mr2009a08,13990.7659385814
2009,7,mr2009a08,26241.5351676784
2009,5,mr2009a08,12333.4732364478
2009,5,mr2009a09,14997.2976284165
2009,6,mr2009a09,13701.7781508672
2009,7,mr2009a09,22228.7710892817
2009,6,mr2009a11,14041.0442162815
2009,5,mr2009a11,13636.4490367211
2009,7,mr2009a11,23071.8868617494
2009,7,mr2009a13,50953.354202189
2009,6,mr2009a13,49641.2836351357
2009,5,mr2009a13,27885.305052695
2009,5,mr2009a14,33549.2254237713
2009,6,mr2009a14,36653.8918546802
2009,7,mr2009a14,31484.6023751728
2009,6,mr2009a15,46930.4595282357
2009,7,mr2009a15,50431.7919984842
2009,5,mr2009a15,33529.7075545214
2009,5,mr2009a16,12367.4248468218
2009,6,mr2009a16,13224.199591943
2009,7,mr2009a16,22289.5989983568
2009,6,mr2009a17,14186.6334318201
2009,7,mr2009a17,26583.5910826848
2009,5,mr2009a17,12175.5344717173
2009,5,mr2009a18,20707.5239632232
2009,6,mr2009a18,17862.1270610734
2009,7,mr2009a18,40173.3495498917
2009,6,mr2009a21,14282.7087637618
2009,5,mr2009a21,14262.30786626
2009,7,mr2009a21,23067.0112310648
2009,5,mr2009a23,14375.4315863263
2009,7,mr2009a24,31938.5451109461
2009,5,mr2009a24,15706.6024919571
2009,6,mr2009a24,17392.2888366145
2009,6,mr2009a25,13488.0563735102
2009,5,mr2009a25,13076.7811687428
2009,7,mr2009a25,21686.5044622444
2009,6,mr2009a26,34143.9424121786
2009,5,mr2009a26,14220.8640911756
2009,7,mr2009a26,42689.5114741265
2009,6,mr2009a27,14574.886447836
2009,5,mr2009a27,13968.1122734981
2009,7,mr2009a27,22066.5014720489
2010,6,mr2009a02,15837.6283661931
2010,7,mr2009a02,24849.3555053745
2010,5,mr2009a02,15221.1272656887
2010,6,mr2009a03,17163.5816194147
2010,5,mr2009a03,14976.5438480304
2010,7,mr2009a03,27415.8005598209
2010,6,mr2009a04,16151.7536717909
2010,7,mr2009a04,23928.977241506
2010,5,mr2009a04,14525.314594002
