"","ID","Year","NNdist","CalvingGround","Calved","CalvingDate","Lost","LossDate","NNdistkm"
"59","mr2009a24","2011",23089.0945681337,"On",1,2011-05-22,0,NA,23.0890945681337
"60","mr2009a25","2009",15564.2160320551,"On",1,2009-05-23,0,NA,15.5642160320551
"61","mr2009a25","2010",20465.6957952465,"On",1,2010-06-15,1,2010-06-26,20.4656957952465
"62","mr2009a25","2011",18166.8545645459,"On",1,2011-05-24,0,NA,18.1668545645459
"63","mr2009a25","2012",17174.5800814422,"On",1,2012-05-24,0,NA,17.1745800814422
"64","mr2009a25","2013",27687.102724682,"On",1,2013-05-23,1,2013-05-25,27.687102724682
"65","mr2009a26","2009",32239.1688878744,"Off",1,2009-05-22,0,NA,32.2391688878744
"66","mr2009a26","2010",28601.9689527367,"On",1,2010-05-22,0,NA,28.6019689527367
"67","mr2009a26","2012",29040.8205720082,"On",NA,NA,0,NA,29.0408205720082
"68","mr2009a27","2009",16386.441681509,"On",1,2009-05-28,1,2009-06-06,16.386441681509
"69","mr2009a27","2010",17732.1788205263,"On",1,2010-05-22,0,NA,17.7321788205263
"70","mr2009a28","2010",56655.2297537209,"Off",1,2010-05-23,1,NA,56.6552297537209
"71","mr2009a28","2011",61609.5858553778,"Off",1,2011-05-22,0,NA,61.6095858553778
"72","mr2009a28","2012",45998.7353154199,"Off",NA,NA,0,NA,45.9987353154199
"73","mr2009a29","2010",21902.8835603963,"On",1,2010-05-29,0,NA,21.9028835603963
"74","mr2009a30","2010",19631.0066561772,"On",1,2010-06-03,1,2010-06-11,19.6310066561772
"75","mr2009a30","2011",19023.6414379512,"On",1,2011-05-22,0,NA,19.0236414379512
"76","mr2009a30","2012",17210.1993843277,"On",1,2012-05-25,0,NA,17.2101993843277
"77","mr2009a31","2010",29098.7324620993,"Off",1,2010-05-22,0,NA,29.0987324620993
"78","mr2009a31","2011",26525.934350822,"On",1,2011-05-23,0,NA,26.525934350822
"79","mr2009a31","2012",27818.6673765983,"On",1,2012-05-22,0,NA,27.8186673765983
"80","mr2009a31","2013",32332.978782937,"Off",1,2013-05-22,0,NA,32.332978782937
"81","mr2010a01","2011",17910.0777935732,"On",1,2011-05-22,0,NA,17.9100777935732
"82","mr2010a01","2012",17433.97758544,"On",1,2012-05-22,0,NA,17.43397758544
"83","mr2010a03","2011",19569.7665519226,"On",1,2011-05-22,0,NA,19.5697665519226
"84","mr2011a01","2011",30290.5829941301,"Off",1,2011-06-06,1,2011-06-12,30.2905829941301
"85","mr2011a01","2012",29571.9014968058,"On",1,2012-06-05,0,NA,29.5719014968058
"86","mr2011a01","2013",38820.1998085085,"Off",1,2013-05-22,0,NA,38.8201998085085
